bridge_paper_title,bridge_paper_author,bridge_paper_year,venue,citation_impact,confidence_score,datasets_bridged,num_datasets_bridged,data_types_bridged,num_data_types_bridged
Beatrix: Out-of-Distribution Generalization of Large EEG Model via Invariant Contrastive Fine-Tuning,"R Zheng, D Zhang, Z Yuan, J Chen, Y Yang",0,NA,0,0.5313880580922832,"['ds004350', 'ds004602', 'ds004295', 'ds004588', 'ds004256', 'ds004840', 'ds003420', 'ds003655', 'ds004563', 'ds003574', 'ds004635', 'ds004040', 'ds004395', 'ds004771', 'ds003775', 'ds004577', 'ds003478', 'ds004186', 'ds004802', 'ds004408', 'ds004148', 'ds004279', 'ds004284']",23,['raw'],1
EEG datasets for healthcare: a scoping review,"CP Da Silva, S Tedesco, B O'Flynn",2024,IEEE Access,8,0.6178632846772671,"['ds004000', 'ds003768', 'ds003474', 'ds003944', 'ds003947', 'ds003478', 'ds003509', 'ds003522', 'ds002778', 'ds003506']",10,[],0
EEG datasets for healthcare: A scoping review,"C Peres da Silva, S Tedesco, B O'Flynn",2024,NA,0,0.6170865318775178,"['ds003768', 'ds003474', 'ds004000', 'ds003478', 'ds003944', 'ds003947', 'ds003509', 'ds003522', 'ds002778', 'ds003506']",10,[],0
BrainOmni: A Brain Foundation Model for Unified EEG and MEG Signals,"Q Xiao, Z Cui, C Zhang, S Chen, W Wu",2025,arXiv preprint arXiv:2505.18185,0,0.5830872276574374,"['ds004078', 'ds003555', 'ds003682', 'ds005511', 'ds005506', 'ds005509', 'ds004357', 'ds004212', 'ds004330', 'ds004107']",10,"['raw', 'derivative']",2
HBN-EEG: The FAIR implementation of the Healthy Brain Network (HBN) electroencephalography dataset,"SY Shirazi, A Franco, M Scopel Hoffmann, NB Esper",2024,bioRxiv,0,0.9052208595474562,"['ds005512', 'ds005508', 'ds005507', 'ds005506', 'ds005514', 'ds005510', 'ds005509', 'ds005511', 'ds005505']",9,['raw'],1
Tools for importing and evaluating BIDS-EEG formatted data,"A Delorme, D Truong",2021,2021 10th International IEEE/EMBS Conference on Neural Engineering (NER),15,0.6531670403480531,"['ds003082', 'ds003190', 'ds003004', 'ds002181', 'ds003195', 'ds003194', 'ds000248']",7,['raw'],1
LEAD: Large Foundation Model for EEG-Based Alzheimer's Disease Detection,"Y Wang, N Huang, N Mammone, M Cecchi",2025,arXiv preprint arXiv:2502.01678,0,0.6030470694601537,"['ds003775', 'ds004584', 'ds003478', 'ds004796', 'ds005385', 'ds005048', 'ds004504']",7,['raw'],1
Neural and physiological data from participants listening to affective music,"I Daly, N Nicolaou, D Williams, F Hwang, A Kirke",2020,Scientific data,25,0.7687590565532446,"['ds002720', 'ds002725', 'ds002722', 'ds002724', 'ds002723', 'ds002721']",6,[],0
BrainWave: A Brain Signal Foundation Model for Clinical Applications,"Z Yuan, F Shen, M Li, Y Yu, C Tan, Y Yang",2024,arXiv preprint arXiv:2402.10251,4,0.49046874038875105,"['ds003478', 'ds004504', 'ds002778', 'ds003775', 'ds004902', 'ds004080']",6,['raw'],1
BIDSAlign: a library for automatic merging and preprocessing of multiple EEG repositories,"A Zanola, F Del Pup, C Porcaro",2024,Journal of Neural Engineering,1,0.6575105960667134,"['ds003421', 'ds004186', 'ds004621', 'ds004504', 'ds002778', 'ds004148']",6,['raw'],1
"The more, the better? Evaluating the role of EEG preprocessing for deep learning applications.","F Del Pup, A Zanola, LF Tshimanga",2025,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1,0.6465923298597336,"['ds004504', 'ds004362', 'ds004148', 'ds004902', 'ds002778']",5,['raw'],1
ARTEFACTS REMOVAL FROM BRAIN EEG SIGNALS USING ADAPTIVE ALGORITHMS,J HATALA,0,NA,0,0.49593292593955995,"['ds003670', 'ds004504', 'ds003739', 'ds003474', 'ds003690']",5,[],0
